t,value
708,-0.3831972
709,-0.66709137
710,-0.39428914
711,-0.07322186
712,-0.24814504
713,-0.49966276
714,-0.49366707
715,-0.41752225
716,-0.3334332
717,-0.10889602
718,0.25414073
719,0.08566296
720,-0.31769466
721,-0.26418346
722,-0.24005091
723,-0.21651798
724,0.05523503
725,0.63666344
726,0.45799303
727,0.2880162
728,0.9839617
729,0.7078619
730,-0.68268
731,-0.48767143
732,-0.51600087
733,-0.74938166
734,-0.56876266
735,-0.7149067
736,-0.70351493
737,-0.7072622
738,-0.5272427
739,-0.6874766
740,-1.0
741,-1.0
742,-0.6119313
743,-0.5984411
744,-0.48197556
745,-0.5531739
746,-0.28127104
747,-0.4424042
748,-0.66109574
749,-0.68582773
750,-0.68432885
751,-0.6847785
752,-0.5921457
753,-0.37570262
754,-0.48212546
755,-0.7074121
756,-0.7053137
757,-0.7228509
758,-0.66963947
759,-0.6117815
760,-0.37615228
761,0.110394955
762,-0.73469234
763,-0.7256988
764,-0.7451847
765,-0.63306606
766,-0.7219516
767,-0.7207525
768,-0.7345425
769,-0.73948884
770,-0.5106048
771,-1.0
772,-1.0
773,-0.511654
774,-0.27392638
775,-0.47897774
776,-0.68253016
777,-0.63921154
778,-0.62497187
779,-0.61148167
780,-0.28756648
781,-0.124184966
782,-0.1303305
783,-0.2791726
784,-0.6789328
785,-0.67443603
786,-0.7074121
787,-0.59874094
788,-0.401334
789,0.0161134
790,-0.7412876
791,-0.69796896
792,-0.6553998
793,-0.6594469
794,-0.7342427
795,-0.67833316
796,-0.75133026
797,-0.6712883
798,-0.28921533
799,-1.0
800,-1.0
801,-0.66199505
802,-0.42741513
803,-0.5660646
804,-0.7841565
805,-0.7429364
806,-0.73754025
807,-0.71505654
808,-0.624822
809,-0.45394588
810,-0.5497264
811,-0.69811887
812,-0.6849284
813,-0.51675034
814,-0.57071126
815,-0.5651653
816,-0.42726523
817,-0.5464288
818,-0.7180544
819,-0.73694074
820,-0.022408724
821,-0.72599864
822,-0.68283
823,-0.4278648
824,-0.7054635
825,-0.70666265
826,-0.6612456
827,-0.7538784
828,-0.6654426
829,-0.3900922
830,-1.0
831,-1.0
832,-0.7618227
833,0.07292211
834,-0.48272502
835,-0.55602187
836,-0.5405831
837,-0.3975867
838,-0.49171847
839,-0.64250916
840,-0.67773366
841,-0.68582773
842,-0.7033651
843,-0.62002546
